iter	RMSE
0	9.250798171
1	9.006265179
2	8.777904463
3	8.563197953
4	8.358976673
5	8.178103495
6	7.986796255
7	7.776203001
8	7.61962766
9	7.477591867
10	7.336084405
11	7.210676779
12	7.064743079
13	6.914090949
14	6.811316353
15	6.701000042
16	6.606512234
17	6.51758479
18	6.437679438
19	6.367847937
20	6.291844954
21	6.204693178
22	6.137941777
23	6.085297444
24	5.959180564
25	5.844393575
26	5.78232941
27	5.68351521
28	5.638892087
29	5.592767993
30	5.494568964
31	5.455116318
32	5.359394506
33	5.27856279
34	5.23776749
35	5.200447048
36	5.166073666
37	5.139663367
38	5.081694954
39	5.044365735
40	5.018421013
41	4.962232021
42	4.923839881
43	4.902950446
44	4.879801744
45	4.814428742
46	4.756117665
47	4.726750235
48	4.701873798
49	4.68417079
50	4.614179415
51	4.584518141
52	4.568648139
53	4.524950348
54	4.476922226
55	4.456597986
56	4.401312376
57	4.377931167
58	4.331870481
59	4.296518456
60	4.280875618
61	4.241240658
62	4.229643537
63	4.219431329
64	4.212735552
65	4.195440401
66	4.179993547
67	4.149455623
68	4.135465935
69	4.124843188
70	4.108673037
71	4.098158819
72	4.087635198
73	4.074011362
74	4.064889469
75	4.058418807
76	4.046168643
77	4.040113186
78	4.03255833
79	4.023340024
80	3.99386821
81	3.983240963
82	3.950171429
83	3.941998662
84	3.914071756
85	3.893506711
86	3.886787133
87	3.881273772
88	3.873516613
89	3.864661968
90	3.859293627
91	3.83483566
92	3.829317034
93	3.822337037
94	3.810022724
95	3.804635134
96	3.799249484
97	3.796209364
98	3.786837021
99	3.772716032
100	3.750779961
101	3.746942352
102	3.73319534
103	3.726833536
104	3.712762433
105	3.707235678
106	3.696388145
107	3.689779102
108	3.685215425
109	3.679633781
110	3.665567302
111	3.664086948
112	3.644900087
113	3.641891993
114	3.637645556
115	3.628459289
116	3.624319082
117	3.621901078
118	3.613340251
119	3.609729226
120	3.606585294
121	3.603184416
122	3.600288224
123	3.597780978
124	3.591890681
125	3.588538272
126	3.584765635
127	3.580691868
128	3.579333252
129	3.577278876
130	3.575148369
131	3.572831875
132	3.570903575
133	3.566771159
134	3.562501044
135	3.555908071
136	3.553895644
137	3.550604526
138	3.548712697
139	3.54448937
140	3.541674418
141	3.537416179
142	3.535995947
143	3.534033793
144	3.529620333
145	3.527684267
146	3.526385006
147	3.509192292
148	3.506894656
149	3.504538649
150	3.502090875
151	3.492176666
152	3.488070876
153	3.485636155
154	3.480882792
155	3.477734339
156	3.465831204
157	3.463514826
158	3.461410001
159	3.460137478
160	3.454414238
161	3.453114702
162	3.451633008
163	3.449562681
164	3.436152836
165	3.435782084
166	3.423108123
167	3.420434103
168	3.418346221
169	3.417105924
170	3.415962961
171	3.414553753
172	3.401500977
173	3.399079342
174	3.397302368
175	3.395619148
176	3.393939305
177	3.392204096
178	3.378944943
179	3.377172639
180	3.375108684
181	3.37364033
182	3.371529445
183	3.364723512
184	3.36248869
185	3.357063055
186	3.355725328
187	3.34837677
188	3.33623391
189	3.332437736
190	3.329905971
191	3.328681799
192	3.322551216
193	3.318316595
194	3.316901332
195	3.311666162
196	3.310077407
197	3.308991316
198	3.308024493
199	3.306088628
200	3.305209267
201	3.30401622
202	3.297511832
203	3.295751517
204	3.286609822
205	3.279937287
206	3.27813864
207	3.273345817
208	3.271944805
209	3.267668322
