iter	Passed	Remaining
0	260	156226
1	299	89697
2	450	89747
3	614	91597
4	643	76578
5	687	68071
6	754	63906
7	809	59901
8	856	56246
9	909	53675
10	940	50372
11	980	48027
12	998	45093
13	1022	42785
14	1060	41342
15	1095	39978
16	1114	38212
17	1144	37000
18	1193	36493
19	1211	35130
20	1243	34277
21	1277	33560
22	1295	32497
23	1317	31618
24	1349	31034
25	1376	30395
26	1397	29655
27	1423	29086
28	1455	28660
29	1476	28049
30	1491	27380
31	1503	26680
32	1515	26047
33	1535	25567
34	1551	25041
35	1567	24560
36	1582	24076
37	1599	23650
38	1614	23228
39	1630	22825
40	1647	22466
41	1664	22109
42	1681	21774
43	1699	21469
44	1714	21142
45	1730	20836
46	1745	20532
47	1760	20249
48	1774	19956
49	1789	19682
50	1802	19405
51	1816	19145
52	1831	18906
53	1847	18682
54	1861	18444
55	1875	18220
56	1890	18006
57	1905	17809
58	1920	17614
59	1935	17419
60	1950	17234
61	1966	17066
62	1981	16891
63	1995	16712
64	2010	16545
65	2025	16385
66	2040	16235
67	2056	16092
68	2070	15932
69	2085	15790
70	2105	15684
71	2121	15554
72	2137	15427
73	2152	15299
74	2166	15165
75	2179	15028
76	2193	14896
77	2206	14769
78	2220	14646
79	2234	14526
80	2247	14401
81	2262	14292
82	2278	14195
83	2294	14097
84	2309	13994
85	2325	13900
86	2342	13809
87	2357	13717
88	2371	13616
89	2384	13513
90	2397	13411
91	2411	13314
92	2425	13225
93	2440	13138
94	2455	13052
95	2466	12950
96	2477	12847
97	2490	12757
98	2510	12704
99	2527	12637
100	2541	12558
101	2557	12485
102	2573	12417
103	2588	12344
104	2600	12260
105	2614	12183
106	2627	12108
107	2644	12048
108	2661	11990
109	2676	11921
110	2689	11846
111	2701	11770
112	2715	11703
113	2730	11640
114	2744	11575
115	2759	11512
116	2773	11449
117	2787	11384
118	2800	11319
119	2812	11249
120	2825	11186
121	2841	11134
122	2857	11080
123	2871	11023
124	2889	10981
125	2902	10917
126	2915	10858
127	2934	10822
128	2950	10774
129	2966	10726
130	2985	10689
131	3004	10651
132	3022	10613
133	3039	10569
134	3056	10528
135	3079	10505
136	3104	10493
137	3129	10478
138	3146	10433
139	3175	10434
140	3199	10416
141	3220	10388
142	3238	10350
143	3254	10307
144	3270	10263
145	3285	10215
146	3300	10170
147	3321	10143
148	3340	10109
149	3360	10081
150	3378	10046
151	3398	10015
152	3415	9980
153	3433	9943
154	3451	9909
155	3466	9865
156	3482	9825
157	3496	9781
158	3507	9727
159	3520	9680
160	3534	9638
161	3547	9591
162	3560	9545
163	3572	9498
164	3584	9450
165	3589	9384
166	3601	9339
167	3617	9302
168	3630	9259
169	3644	9218
170	3659	9179
171	3672	9138
172	3685	9097
173	3698	9055
174	3715	9023
175	3728	8981
176	3740	8939
177	3753	8899
178	3767	8860
179	3780	8820
180	3792	8779
181	3806	8742
182	3819	8703
183	3833	8667
184	3847	8630
185	3862	8597
186	3880	8569
187	3896	8538
188	3910	8504
189	3924	8468
190	3938	8433
191	3950	8394
192	3964	8359
193	3978	8326
194	3992	8292
195	4004	8254
196	4016	8217
197	4030	8182
198	4043	8148
199	4057	8114
200	4071	8082
201	4085	8049
202	4101	8020
203	4118	7994
204	4133	7964
205	4146	7931
206	4163	7904
207	4176	7870
208	4190	7840
209	4205	7809
210	4218	7776
211	4232	7747
212	4247	7717
213	4263	7689
214	4278	7661
215	4293	7632
216	4310	7608
217	4325	7579
218	4340	7550
219	4354	7520
220	4368	7491
221	4384	7464
222	4402	7441
223	4422	7423
224	4440	7400
225	4457	7376
226	4476	7356
227	4491	7328
228	4507	7302
229	4525	7279
230	4539	7251
231	4556	7228
232	4574	7204
233	4590	7179
234	4605	7153
235	4621	7128
236	4637	7103
237	4652	7075
238	4666	7048
239	4685	7028
240	4704	7008
241	4725	6990
242	4756	6987
243	4781	6976
244	4798	6953
245	4817	6932
246	4834	6909
247	4852	6887
248	4871	6866
249	4892	6849
250	4910	6828
251	4927	6804
252	4944	6782
253	4961	6758
254	4979	6736
255	4993	6710
256	5014	6693
257	5043	6684
258	5064	6667
259	5086	6651
260	5112	6640
261	5135	6625
262	5158	6609
263	5177	6590
264	5193	6565
265	5209	6541
266	5223	6514
267	5236	6487
268	5248	6458
269	5267	6438
270	5293	6426
271	5316	6411
272	5339	6396
273	5366	6385
274	5389	6369
275	5417	6359
276	5448	6353
277	5468	6333
278	5496	6323
279	5559	6353
280	5590	6346
281	5615	6332
282	5659	6339
283	5677	6316
284	5707	6308
285	5733	6294
286	5763	6285
287	5782	6264
288	5860	6306
289	5927	6335
290	5946	6313
291	5975	6302
292	6001	6288
293	6094	6343
294	6275	6488
295	6327	6498
296	6360	6488
297	6395	6480
298	6533	6577
299	6633	6633
300	6667	6623
301	6699	6611
302	6731	6598
303	6759	6581
304	6802	6579
305	6883	6613
306	6918	6603
307	6966	6604
308	6993	6585
309	7041	6586
310	7080	6579
311	7108	6561
312	7149	6555
313	7205	6563
314	7240	6551
315	7268	6532
316	7295	6512
317	7314	6486
318	7334	6460
319	7352	6433
320	7372	6407
321	7398	6387
322	7448	6388
323	7477	6369
324	7495	6342
325	7514	6315
326	7543	6297
327	7560	6269
328	7575	6240
329	7590	6210
330	7610	6185
331	7629	6158
332	7644	6129
333	7660	6101
334	7674	6070
335	7689	6041
336	7703	6012
337	7717	5982
338	7731	5952
339	7755	5930
340	7770	5901
341	7792	5878
342	7808	5850
343	7822	5821
344	7837	5792
345	7851	5764
346	7864	5733
347	7877	5704
348	7889	5674
349	7904	5645
350	7919	5617
351	7934	5590
352	7949	5562
353	7963	5533
354	7976	5504
355	7988	5475
356	8001	5446
357	8015	5418
358	8028	5389
359	8045	5363
360	8060	5336
361	8078	5311
362	8114	5297
363	8138	5276
364	8155	5251
365	8179	5229
366	8203	5207
367	8220	5182
368	8240	5158
369	8259	5134
370	8274	5107
371	8289	5080
372	8305	5054
373	8322	5029
374	8375	5025
375	8478	5051
376	8520	5039
377	8541	5016
378	8564	4993
379	8583	4969
380	8598	4942
381	8617	4918
382	8633	4891
383	8660	4871
384	8674	4844
385	8690	4818
386	8712	4795
387	8727	4768
388	8742	4742
389	8762	4718
390	8780	4693
391	8793	4666
392	8809	4639
393	8835	4619
394	8853	4595
395	8903	4586
396	8922	4562
397	8982	4559
398	9056	4562
399	9093	4546
400	9140	4536
401	9191	4527
402	9224	4509
403	9349	4536
404	9466	4557
405	9513	4545
406	9532	4520
407	9551	4494
408	9716	4537
409	9732	4510
410	9748	4482
411	9763	4455
412	9778	4427
413	9802	4404
414	9827	4381
415	9846	4355
416	9868	4330
417	9891	4306
418	9917	4283
419	9930	4255
420	9954	4232
421	9995	4215
422	10022	4194
423	10061	4176
424	10100	4159
425	10130	4137
426	10152	4113
427	10191	4095
428	10224	4075
429	10260	4056
430	10288	4034
431	10327	4016
432	10362	3996
433	10430	3989
434	10473	3972
435	10500	3949
